Watertown,South Dakota,53.6,32.5,22.1
Gann Valley,South Dakota,59.3,33.3,19.2
Buffalo - North,South Dakota,56.6,32.8,14.5
Chamberlain,South Dakota,61,35.4,19
Cherry Creek,South Dakota,59.4,33.7,18.8
Winner - Hospital,South Dakota,60.9,36.6,23.9
Menno,South Dakota,60.1,35.3,23.7
Harney,South Dakota,56.2,30.3,26.7
Mud Butte,South Dakota,58.1,30.8,15.1
Platte,South Dakota,60.5,35.1,21.8
Ashton,South Dakota,,,18.4
Custer,South Dakota,54.2,30.7,19
Castle Rock,South Dakota,56.6,30.3,13.8
Presho,South Dakota,60.7,33.9,20
Harding,South Dakota,,,16.2
Raymond,South Dakota,,,19.6
Blunt - North,South Dakota,55.7,32.4,19.3
Rapid City,South Dakota,60.4,33.9,16.3
Eureka,South Dakota,54.9,30.4,17.5
Columbia,South Dakota,54.4,31.1,20.4
Hill City,South Dakota,57,28,20.1
Hot Springs - Airport,South Dakota,63.1,35.2,15.5
Hartford,South Dakota,,,26.4
Van Metre,South Dakota,60.5,31,17.5
Midland,South Dakota,58.8,34.8,18.6
Vivian,South Dakota,61.7,37,25.4
Westport,South Dakota,,,21.9
Interior,South Dakota,63.4,37.4,16.9
Chester - Brant Lake,South Dakota,,,27.8
Caputa,South Dakota,59.8,34.1,16.1
Dewey,South Dakota,,,13.2
Gregory,South Dakota,61.2,35.1,23.2
Argyle,South Dakota,58.5,32.7,17.7
Miller,South Dakota,57.7,33.3,19
Sturgis,South Dakota,59.9,33.9,15.3
Burbank,South Dakota,61.3,37,25.3
Provo,South Dakota,62,35,16.8
Bryant,South Dakota,,32.8,24.1
Montrose,South Dakota,57,32.7,24.6
Trailwaters Recreation Area,South Dakota,58.8,34.8,18.4
Carpenter,South Dakota,57.1,31.5,22
White Rock,South Dakota,53.5,32.1,24.4
Leola - Sherman Street,South Dakota,53.9,30.5,20.5
McIntosh,South Dakota,,,15.3
Lodgepole,South Dakota,,,15.8
Oglala,South Dakota,62,34.8,19.3
Wilmot,South Dakota,53.4,31.9,22.7
Crow Lake,South Dakota,8,,22.5
Hilland,South Dakota,59.3,34.1,16.7
Kadoka - Airport,South Dakota,61.1,35.3,18.4
Deerfield Lake,South Dakota,53.7,22.7,17.8
Stockade Lake,South Dakota,53.8,35.5,21.4
Huron,South Dakota,57.5,34.5,22.9
St. Helena,South Dakota,57.8,34.2,27.2
Gayville,South Dakota,59.3,35.4,25.1
Wind Cave National Park,South Dakota,60.8,33.8,19.9
Lemmon,South Dakota,55,30,15.3
Onaka,South Dakota,2,,18.2
Wagner,South Dakota,61.9,36.7,24.7
Mellette,South Dakota,56.5,31.1,20.5
Arlington,South Dakota,55,34.2,23.9
Mystic,South Dakota,,,18.4
Rumford,South Dakota,,,13.4
Woonsocket,South Dakota,,20.1,20.8
Philip,South Dakota,60.8,33,16.2
Highmore,South Dakota,57.7,32.7,19
Keldron,South Dakota,55.5,31.1,16.8
Webster,South Dakota,53.7,31.9,22.9
Camp Crook,South Dakota,58.5,29.9,13.9
Plainview,South Dakota,60,32.3,16.1
Black Hawk,South Dakota,60,35.2,18.1
Long Valley,South Dakota,62.2,35.1,17.8
Scenic,South Dakota,54.3,31.2,17.9
Blunt,South Dakota,59,31.2,17.8
Gettysburg,South Dakota,56.2,32.3,18
Groton,South Dakota,,,23.1
Belle Fourche,South Dakota,62.1,33.1,17.9
Virgil,South Dakota,57,33.6,20.7
Brookings,South Dakota,56,32,20.1
Arena,South Dakota,53.4,31.8,
Howes,South Dakota,59.5,33.7,16.3
Chester,South Dakota,,,27.8
Farmingdale,South Dakota,,,14.8
Onida,South Dakota,58.2,33.3,17.8
Sinai,South Dakota,55.1,31.8,21.5
Mitchell,South Dakota,58.5,36.4,21.5
Clear Lake,South Dakota,53.9,32.8,25.5
